property,runtime_offset,storage,parser_default,transform,evidence
x,0x08,s32,100,value << 8,0x08004414 -> str [actor+0x08]
y,0x0C,s32,100,value << 8,0x08004438 -> str [actor+0x0C]
turn,0x4C,s16,0,identity,0x08004460 -> strh [actor+0x4C]
subtype,0x28,s32,0,identity,0x08004492 -> str [actor+0x28]
treetype,0x54,s16,1,identity,0x080044BC -> strh [actor+0x54]
legsColor,0x4E,s16,0,identity,0x080044EC -> strh [actor+0x4E]
num,0x50,s16,150,identity,0x0800451A -> strh [actor+0x50]
portTo,0x52,s16,33,identity,0x08004548 -> strh [actor+0x52]
level,0x56,s16,-1,identity,0x08004578 -> strh [actor+0x56]
setglobal,0x58,s16,1,identity,0x080045A8 -> strh [actor+0x58]
state,0x5A,s16,0,identity,0x080045D6 -> strh [actor+0x5A]
dial,0x5C,s32,0,identity,0x080045FE -> str [actor+0x5C]
route,0x64,s32,0,identity,0x0800462A -> str [actor+0x64]
