rom_offset,rom_addr,normal_level_indices,classification,type,name,x,y,width,height,spawnType,subtype,treetype,legsColor,num,portTo,level,setglobal,state,route,dial,turn,all_properties_json
0x00018E94,0x08018E94,,standalone_spawner_metadata,spawner,spawner,541,548,16,-32,npc,0,,56,5,0,0,0,0,,,,"{""type"": ""spawner"", ""name"": ""spawner"", ""x"": ""541"", ""y"": ""548"", ""width"": ""16"", ""height"": ""-32"", ""legsColor"": ""56"", ""num"": ""5"", ""portTo"": ""0"", ""spawnType"": ""npc"", ""subtype"": ""0"", ""level"": ""0"", ""setglobal"": ""0"", ""state"": ""0""}"
0x00018F08,0x08018F08,,standalone_spawner_metadata,spawner,spawner,563,483,16,-32,npc,0,,56,5,0,0,0,2,,0,,"{""type"": ""spawner"", ""name"": ""spawner"", ""x"": ""563"", ""y"": ""483"", ""width"": ""16"", ""height"": ""-32"", ""legsColor"": ""56"", ""num"": ""5"", ""portTo"": ""0"", ""spawnType"": ""npc"", ""subtype"": ""0"", ""level"": ""0"", ""setglobal"": ""0"", ""state"": ""2"", ""dial"": ""0""}"
0x00018F84,0x08018F84,,standalone_spawner_metadata,spawner,spawner,1317,1217,16,-32,npc,0,,16,8,0,5,0,2,,1,,"{""type"": ""spawner"", ""name"": ""spawner"", ""x"": ""1317"", ""y"": ""1217"", ""width"": ""16"", ""height"": ""-32"", ""legsColor"": ""16"", ""num"": ""8"", ""portTo"": ""0"", ""spawnType"": ""npc"", ""subtype"": ""0"", ""level"": ""5"", ""setglobal"": ""0"", ""state"": ""2"", ""dial"": ""1""}"
0x00019000,0x08019000,,standalone_spawner_metadata,spawner,spawner,623,483,16,-32,npc,0,,56,5,0,0,0,2,,1,,"{""type"": ""spawner"", ""name"": ""spawner"", ""x"": ""623"", ""y"": ""483"", ""width"": ""16"", ""height"": ""-32"", ""legsColor"": ""56"", ""num"": ""5"", ""portTo"": ""0"", ""spawnType"": ""npc"", ""subtype"": ""0"", ""level"": ""0"", ""setglobal"": ""0"", ""state"": ""2"", ""dial"": ""1""}"
0x0001907C,0x0801907C,,standalone_spawner_metadata,spawner,spawner,423,483,16,-32,npc,0,,200,8,0,0,0,3,0,2,,"{""type"": ""spawner"", ""name"": ""spawner"", ""x"": ""423"", ""y"": ""483"", ""width"": ""16"", ""height"": ""-32"", ""legsColor"": ""200"", ""num"": ""8"", ""portTo"": ""0"", ""spawnType"": ""npc"", ""subtype"": ""0"", ""level"": ""0"", ""setglobal"": ""0"", ""state"": ""3"", ""dial"": ""2"", ""route"": ""0""}"
0x00019100,0x08019100,,standalone_spawner_metadata,spawner,spawner,423,483,16,-32,npc,0,,200,8,0,0,0,1,,0,,"{""type"": ""spawner"", ""name"": ""spawner"", ""x"": ""423"", ""y"": ""483"", ""width"": ""16"", ""height"": ""-32"", ""legsColor"": ""200"", ""num"": ""8"", ""portTo"": ""0"", ""spawnType"": ""npc"", ""subtype"": ""0"", ""level"": ""0"", ""setglobal"": ""0"", ""state"": ""1"", ""dial"": ""0""}"
0x0001917C,0x0801917C,,standalone_spawner_metadata,spawner,spawner,478,500,16,-32,npc,0,,32,4,0,0,0,1,,1,,"{""type"": ""spawner"", ""name"": ""spawner"", ""x"": ""478"", ""y"": ""500"", ""width"": ""16"", ""height"": ""-32"", ""legsColor"": ""32"", ""num"": ""4"", ""portTo"": ""0"", ""spawnType"": ""npc"", ""subtype"": ""0"", ""level"": ""0"", ""setglobal"": ""0"", ""state"": ""1"", ""dial"": ""1""}"
0x000191F8,0x080191F8,,standalone_spawner_metadata,spawner,spawner,87,117,16,-32,npc,0,,1,5,0,7,0,2,,0,,"{""type"": ""spawner"", ""name"": ""spawner"", ""x"": ""87"", ""y"": ""117"", ""width"": ""16"", ""height"": ""-32"", ""legsColor"": ""1"", ""num"": ""5"", ""portTo"": ""0"", ""spawnType"": ""npc"", ""subtype"": ""0"", ""level"": ""7"", ""setglobal"": ""0"", ""state"": ""2"", ""dial"": ""0""}"
0x00019274,0x08019274,,standalone_spawner_metadata,spawner,spawner,43,117,16,-32,npc,0,,1,5,0,7,0,2,,1,,"{""type"": ""spawner"", ""name"": ""spawner"", ""x"": ""43"", ""y"": ""117"", ""width"": ""16"", ""height"": ""-32"", ""legsColor"": ""1"", ""num"": ""5"", ""portTo"": ""0"", ""spawnType"": ""npc"", ""subtype"": ""0"", ""level"": ""7"", ""setglobal"": ""0"", ""state"": ""2"", ""dial"": ""1""}"
0x000192F0,0x080192F0,,standalone_spawner_metadata,spawner,spawner,750,777,16,-32,npc,0,,16,8,0,10,0,2,,2,,"{""type"": ""spawner"", ""name"": ""spawner"", ""x"": ""750"", ""y"": ""777"", ""width"": ""16"", ""height"": ""-32"", ""legsColor"": ""16"", ""num"": ""8"", ""portTo"": ""0"", ""spawnType"": ""npc"", ""subtype"": ""0"", ""level"": ""10"", ""setglobal"": ""0"", ""state"": ""2"", ""dial"": ""2""}"
0x0001936C,0x0801936C,,standalone_spawner_metadata,spawner,spawner,440,440,16,-32,npc,4,,24,1,0,9,0,2,,3,,"{""type"": ""spawner"", ""name"": ""spawner"", ""x"": ""440"", ""y"": ""440"", ""width"": ""16"", ""height"": ""-32"", ""legsColor"": ""24"", ""num"": ""1"", ""portTo"": ""0"", ""spawnType"": ""npc"", ""subtype"": ""4"", ""level"": ""9"", ""setglobal"": ""0"", ""state"": ""2"", ""dial"": ""3""}"
0x000193E8,0x080193E8,,standalone_spawner_metadata,spawner,spawner,673,729,16,-32,npc,6,,24,1,0,10,0,4,,3,,"{""type"": ""spawner"", ""name"": ""spawner"", ""x"": ""673"", ""y"": ""729"", ""width"": ""16"", ""height"": ""-32"", ""legsColor"": ""24"", ""num"": ""1"", ""portTo"": ""0"", ""spawnType"": ""npc"", ""subtype"": ""6"", ""level"": ""10"", ""setglobal"": ""0"", ""state"": ""4"", ""dial"": ""3""}"
0x00019464,0x08019464,,standalone_spawner_metadata,spawner,spawner,314,674,16,-32,npc,6,,24,1,0,10,0,4,,3,,"{""type"": ""spawner"", ""name"": ""spawner"", ""x"": ""314"", ""y"": ""674"", ""width"": ""16"", ""height"": ""-32"", ""legsColor"": ""24"", ""num"": ""1"", ""portTo"": ""0"", ""spawnType"": ""npc"", ""subtype"": ""6"", ""level"": ""10"", ""setglobal"": ""0"", ""state"": ""4"", ""dial"": ""3""}"
0x000194E0,0x080194E0,,standalone_spawner_metadata,spawner,spawner,178,214,16,-32,npc,6,,24,1,0,10,0,4,,3,,"{""type"": ""spawner"", ""name"": ""spawner"", ""x"": ""178"", ""y"": ""214"", ""width"": ""16"", ""height"": ""-32"", ""legsColor"": ""24"", ""num"": ""1"", ""portTo"": ""0"", ""spawnType"": ""npc"", ""subtype"": ""6"", ""level"": ""10"", ""setglobal"": ""0"", ""state"": ""4"", ""dial"": ""3""}"
