sound_id,rom_address,byte_length,aligned_length,role,aligned_duration_seconds_16384hz,sha256
0,0x088F68C8,1590108,1590108,music,97.052490,19b10662fd3f2d37b7fca2e8f142b185874cf65408108d7ccccc608540e1b6b0
1,0x087FBE00,1026757,1026756,music,62.668213,98d8c563c287f4eda49fbc97437e6f54d97abb94cfe0d299ceb10e2729359898
2,0x08663E00,1671168,1671168,music,102.000000,cfcc57e3749f3b3f4fbcd7d185059cf06ec585661a9858273f3c22444c93acd7
3,0x08A82954,3437,3436,sfx,0.209717,da52d664d779281c2eef47f4259491104355724836b74c7abef8b5ca1e5e63c1
4,0x08A83EF4,584,584,sfx,0.035645,cb9cb3013e468f876bbf84f2175adf88b62d83918bd41a84aa6c98cd1153079e
5,0x08A8413C,17538,17536,sfx,1.070312,d1318b859118cc0403c494e3bebf6577f2467fb187a70266f4fc289323754ffc
6,0x08A885C0,14951,14948,sfx,0.912354,8ff399f61549feea4d0652f376a63c0d8e9939bd2efe6750dc2c5e9fb8ca61ee
7,0x08A8222C,1832,1832,sfx,0.111816,ed9dbf205d9300e98207397a991b64c4f71251306dfe1bb2df6246e51e5e71dd
8,0x08A82140,236,236,sfx,0.014404,ccbbfb96d09d0ab116b073c658ce63a5bca7cccc62e66f68a738d6ffa18cc62e
9,0x08A7E110,13430,13428,sfx,0.819580,aa6ca8cd4c7a15874ab106e6ecb2a3703fea7ebee26d92d2eb900cdb52e63ba0
10,0x08A7AC24,13548,13548,sfx,0.826904,f14b25730e494957926349022e37690d4f910f651fbdc1642baaf96555ea6946
11,0x08A81588,2998,2996,sfx,0.182861,534886de5310725b9f483d3caac793acad1e7e4472637bf3fcbbcd63998c3c91
12,0x08A836C4,2093,2092,sfx,0.127686,3f867a04c173ca0b3ac3dce806d27a87887442c521bc15f0b294be2961ed84b9
13,0x0865669C,55138,55136,sfx,3.365234,7d4cdabdd214711de3d1244d2082bd2c812e890ba0af6dbc0909231dcf1951e6
