level,variant,state_type,layer,physical_index,turn,patch_index,destination_offset,copy_bytes,expected_sha256,re_sha256,mismatch_bytes,notes
0,0,initial,,,,,,,d217ede688b13ef021c7315bbdbcae2298db1d6db97d12808c6ada81c65bee43,d217ede688b13ef021c7315bbdbcae2298db1d6db97d12808c6ada81c65bee43,0,palette@0x08649260 + 0xD800 BG chars@0x0863A5D8
0,1,initial,,,,,,,6b8a494b9a08fcb3265f4a79700392afe3dbee37e23f5bf70a554ebed07ec1fa,6b8a494b9a08fcb3265f4a79700392afe3dbee37e23f5bf70a554ebed07ec1fa,0,palette@0x0863A568 + 0xD800 BG chars@0x0862F420
0,2,initial,,,,,,,31a787bba02467e1ec5ca767c6a8f108c38abca2fa31358fb4ba9773b172d19c,31a787bba02467e1ec5ca767c6a8f108c38abca2fa31358fb4ba9773b172d19c,0,palette@0x0862F258 + 0xD800 BG chars@0x08619F50
1,0,initial,,,,,,,777c49d47431bea943a690025c8ebe9bd1b29dcfc27137ad1ff86ceb05159236,777c49d47431bea943a690025c8ebe9bd1b29dcfc27137ad1ff86ceb05159236,0,palette@0x08619D6C + 0xD800 BG chars@0x086119E4
2,0,initial,,,,,,,31a787bba02467e1ec5ca767c6a8f108c38abca2fa31358fb4ba9773b172d19c,31a787bba02467e1ec5ca767c6a8f108c38abca2fa31358fb4ba9773b172d19c,0,palette@0x085E2998 + 0xD800 BG chars@0x085CD690
3,0,initial,,,,,,,413e558dedd773f79e443360c16dd0d542f874e4ce85e2f0afc0fce6299f51c5,413e558dedd773f79e443360c16dd0d542f874e4ce85e2f0afc0fce6299f51c5,0,palette@0x085B7804 + 0xD800 BG chars@0x085A28BC
4,0,initial,,,,,,,8acb96c900fd84b86db11d221fee50de5b9c0420c53b86ffea0171aa59487d93,8acb96c900fd84b86db11d221fee50de5b9c0420c53b86ffea0171aa59487d93,0,palette@0x085A2738 + 0xD800 BG chars@0x0859CDB0
5,0,initial,,,,,,,52d4780e5f5107413f0611ed8527f50d33253aefe198c59f2371af61830b4362,52d4780e5f5107413f0611ed8527f50d33253aefe198c59f2371af61830b4362,0,palette@0x085CD4A0 + 0xD800 BG chars@0x085B78D8
6,0,initial,,,,,,,a7b7aca733fd99fce2d5bb78405625a2e17162124a6d5ee69c77831363609819,a7b7aca733fd99fce2d5bb78405625a2e17162124a6d5ee69c77831363609819,0,palette@0x08049D18 + 0xD800 BG chars@0x0802BCD0
7,0,initial,,,,,,,7cb70029cb756fc812c6736a83e67316d3d59d8b03da88ef0bef2e06846ae0d6,7cb70029cb756fc812c6736a83e67316d3d59d8b03da88ef0bef2e06846ae0d6,0,palette@0x08611864 + 0xD800 BG chars@0x08608A9C
8,0,initial,,,,,,,85e4d0df2592d7ae9670123fef3aeb2986e13966667b347d0fc2326ba9204ff1,85e4d0df2592d7ae9670123fef3aeb2986e13966667b347d0fc2326ba9204ff1,0,palette@0x0860891C + 0xD800 BG chars@0x085FFB54
9,0,initial,,,,,,,1b8723ded8fd0a9b99fbcf2b77dea76a08722809ee891480421a956640170d96,1b8723ded8fd0a9b99fbcf2b77dea76a08722809ee891480421a956640170d96,0,palette@0x085FF9C0 + 0xD800 BG chars@0x085F0FB8
10,0,initial,,,,,,,7aaa6fab344b0ea122da29da6250030120e0faa83cb7713652642ff46ba18aff,7aaa6fab344b0ea122da29da6250030120e0faa83cb7713652642ff46ba18aff,0,palette@0x085F0DE8 + 0xD800 BG chars@0x085E2B60
0,0,stream_guard,A,,,,,,7dff6fed8b850c9e95b15a67e4d39af8710af5c1e0e471457a6defb9f60bfea1,7dff6fed8b850c9e95b15a67e4d39af8710af5c1e0e471457a6defb9f60bfea1,0,cell -1 plus cells N..N+width; 258 already-translated halfwords
0,0,stream_guard,B,,,,,,c1bf80a44250367db8972d5e2e7dc7bad58e0c5c3dbe9005deb5bb07ec314a9f,c1bf80a44250367db8972d5e2e7dc7bad58e0c5c3dbe9005deb5bb07ec314a9f,0,cell -1 plus cells N..N+width; 258 already-translated halfwords
1,0,stream_guard,A,,,,,,7181e58859e3b783fce4a82120ec014980f5edfac221c5c423688d32e2760820,7181e58859e3b783fce4a82120ec014980f5edfac221c5c423688d32e2760820,0,cell -1 plus cells N..N+width; 66 already-translated halfwords
1,0,stream_guard,B,,,,,,06a517d56589537e16868ac743277aae6247d7bc079ab54663ff6acee37cec6f,06a517d56589537e16868ac743277aae6247d7bc079ab54663ff6acee37cec6f,0,cell -1 plus cells N..N+width; 66 already-translated halfwords
2,0,stream_guard,A,,,,,,1f53f35f870f72fe7c8db62855904f9f87a61b0b7269da073e09d2cc7b77049c,1f53f35f870f72fe7c8db62855904f9f87a61b0b7269da073e09d2cc7b77049c,0,cell -1 plus cells N..N+width; 258 already-translated halfwords
2,0,stream_guard,B,,,,,,1eb219ff93c885bff79f5a4b8a9a693052afaef9e4f7b5210e16ec5bd6abde46,1eb219ff93c885bff79f5a4b8a9a693052afaef9e4f7b5210e16ec5bd6abde46,0,cell -1 plus cells N..N+width; 258 already-translated halfwords
3,0,stream_guard,A,,,,,,a277229590a4e5e0cd7d8ff1709f931839f061c84b4a8c050f8a0b5e2b5ee662,a277229590a4e5e0cd7d8ff1709f931839f061c84b4a8c050f8a0b5e2b5ee662,0,cell -1 plus cells N..N+width; 258 already-translated halfwords
3,0,stream_guard,B,,,,,,95fe3ab792f5d1178279058ae467fb1fb4c830095345645667ab9278aecbed08,95fe3ab792f5d1178279058ae467fb1fb4c830095345645667ab9278aecbed08,0,cell -1 plus cells N..N+width; 258 already-translated halfwords
4,0,stream_guard,A,,,,,,1e2e41ba2f353a9f29cdd8071ec1bdee502bc46163623971cabdebfb5dc3ac67,1e2e41ba2f353a9f29cdd8071ec1bdee502bc46163623971cabdebfb5dc3ac67,0,cell -1 plus cells N..N+width; 194 already-translated halfwords
4,0,stream_guard,B,,,,,,1c1f7ab87c9b0fbfe9b2d14897113924c3cb81293b724467e70455a2787ce9bc,1c1f7ab87c9b0fbfe9b2d14897113924c3cb81293b724467e70455a2787ce9bc,0,cell -1 plus cells N..N+width; 194 already-translated halfwords
5,0,stream_guard,A,,,,,,f2a581b494c3761713746d042d86f8632c043d247fdc0326953445b5aada8c9f,f2a581b494c3761713746d042d86f8632c043d247fdc0326953445b5aada8c9f,0,cell -1 plus cells N..N+width; 322 already-translated halfwords
5,0,stream_guard,B,,,,,,fc1d4e171e95c3f4df49a35bb1ba106a765001a6fd7ee24b96eb875668a47d15,fc1d4e171e95c3f4df49a35bb1ba106a765001a6fd7ee24b96eb875668a47d15,0,cell -1 plus cells N..N+width; 322 already-translated halfwords
6,0,stream_guard,A,,,,,,28d981f19d7ea14b33a9fc04b5adf55dd6768564faa91c6181a2d607c77383ac,28d981f19d7ea14b33a9fc04b5adf55dd6768564faa91c6181a2d607c77383ac,0,cell -1 plus cells N..N+width; 32 already-translated halfwords
