level_index,width,height,cells,collision_addr,sha256,unique_values,zero_cells,value14_cells,min_value,max_value,structure_note
0,256,256,65536,0x0853BD90,fa75f226e97157a3ac5eeaf5d107f218e624e321fbe4746f5b27698c258dd600,2,60640,4896,0,14,
1,64,64,4096,0x0853403C,5735dbc4974ef93a56e6e4c4e56b6ff9ec45273308b591e238ea5958da8ddcf5,2,420,3676,0,14,
2,256,200,51200,0x084E7B50,f627ca4c2c322f15db26152df306bd4f983f0146409b81a4341b9b340c365a16,1,51200,0,0,0,
3,256,160,40960,0x084AA5FC,06f9682b9119e9aeec12fbb543fe3e38c5d77a15828eb5959c231515efd0275b,2,40435,525,0,14,
4,192,160,30720,0x0847C560,7fe0e1fd7ca8af6f49af7e33a7c8b11125c88ce61c7a15d609ca1ceef22ff049,2,30228,492,0,14,
5,320,200,64000,0x0841E73C,eec19bc6af0b3b6dfb97a08782c65f4bb3c3203e789a015d2008b0d689ad08be,1,64000,0,0,0,
6,30,20,600,0x08655CC4,7d44637617946a5815db7747c20d1c18da040891642b34316c5eb45402f21bac,106,495,0,0,313,level 6 intentionally aliases +0x0C collision and +0x10 visual-B to the same ROM array; loader copies them to distinct runtime globals and consumers remain role-separated
7,29,24,696,0x0841C98C,2617e079ae5f1ce693841fb72b1dfad802b61e42ca842dec421af1537869813e,2,109,587,0,14,
8,37,43,1591,0x0841A318,0bec32f0596885e3a8038f128153c2c8c5481a60be982f5f43819e18c129669d,2,339,1252,0,14,
9,782,128,100096,0x083876F8,b880ea5bb7487a0255a76bdd62595e444064cd7f2dbefbe0d0bfcada82205b91,2,95728,4368,0,14,
10,168,128,21504,0x083674B4,ecfaed751990ae3b4c19ed85c0a132945137f3b8164aaf17f1e62869c66d6b7b,2,8210,13294,0,14,
