latest_address,alpha_address,size_bytes,latest_minus_alpha,sha1
0x08000100,0x08000100,196,+0x0,6b40a0b8d8e4f59685fb7136cc18c67cf2378d2a
0x0800022C,0x0800022C,72,+0x0,a2b9aec093c0aea2f5b5e8d0c40d6427a24c1a55
0x08000277,0x08000277,59,+0x0,960d327f3ea169ddd974f5e9df70513cccb6065d
0x080002F4,0x080002F4,54,+0x0,3692e43e4cfa1d48a4626b36fd90ef999f63b84f
0x080003D3,0x080003D3,65,+0x0,0a4e2d23abaea83f13ff4d324e61781c80c01341
0x08000415,0x08000415,55,+0x0,2e771fc8c31e9bc428e11b3dcb44d8a4fc8ad8e1
0x0800044D,0x0800044D,95,+0x0,a5998b73fd0b4f8991eea7c226bae2a58d92cd2a
0x080004B0,0x080004B0,48,+0x0,a6c2dc526eb7616f24f2e879e54141c6fa48eedc
0x08000540,0x08000540,48,+0x0,132540ffd174a0d284a55694acef2a29d35e811f
0x080005CC,0x080005CC,58,+0x0,11c932ba362c03d590935e004e9485fd8d250a39
0x08000658,0x08000658,124,+0x0,1ae8a7dce1db84c91ed8efa29bd17843fa65eb98
0x080007E1,0x080007E1,111,+0x0,bc9b737e01077436ff88bc944ad65e63906c61e6
0x080009F9,0x080009F9,65,+0x0,4e437e7996ca15e23f14ebcedae46ee220689dbc
0x08000A61,0x08000A61,49,+0x0,1dc9fbaea678b14d1e73608df1317f8ceb2ac5c9
0x08000A93,0x08000A93,59,+0x0,ce52c24bd64852a9fcbca9759abffc955b722d81
0x08000BCC,0x08000BDC,512,-0x10,15e321d5114b5d3ace34f2ce1fc3ada6b7244253
0x08000DF2,0x08000E02,432,-0x10,fe51efcb4c0dbf118bd1bca35771c07190cbcb64
0x08000FD4,0x08000FE4,80,-0x10,29c0410a9fa10eddaa49f115abbce73ed30b3120
0x080010A3,0x080010B3,49,-0x10,d52f3b8bd7b0c8e84cae6d77aa098e3496c35034
0x0800113A,0x0800114A,598,-0x10,9c3154e6b0258e9c07586935c8121f21a1340b3f
0x080013EF,0x080013FF,49,-0x10,81366fc3ad6eab5f9b52046f6236b7534a0dddfb
0x08001424,0x08001434,332,-0x10,40c23bc86deb2211d8047e44b3ca2e77b86fc5e7
0x08001574,0x08001584,172,-0x10,8ebb75ea3aeddab072a305a04e803a9ba704d70a
0x08001621,0x08001631,333,-0x10,335d2472eed49ae406cd50ef0e51c13a438016f9
0x08001772,0x08001782,472,-0x10,19f03e26a6aab39152f847b59777448e00025847
0x0800194E,0x0800195E,282,-0x10,0d6090f9203f1896e0585356a9057e20e20a322d
0x08001A6A,0x08001A7A,58,-0x10,ed1d18608daaf203d9adcf4a6017d84036fcda75
0x08001AB4,0x08001AC4,292,-0x10,8d294b224bb2e6edf3610429deb5e11be72956fd
0x08001BDB,0x08001BEB,105,-0x10,33c9946b2acc0e1836ccc078ab0aee56f89d4e88
0x08001C47,0x08001C57,149,-0x10,8f54074d93edd391e6b2d85cf40fac5bd5bed845
0x08002282,0x08001D06,226,+0x57c,c84ad33b98bcb0a201f06337e2436e3ee8bc9e61
0x0800580D,0x08002DF5,128,+0x2a18,87ff941c7726e18ce8c4b7997a93916d18dc8146
0x080058A9,0x08002E91,100,+0x2a18,ba19a69dac55931bf00bfb4385793f5d482528c7
0x080061AC,0x0800364C,56,+0x2b60,261c81624ba0a848c4dec9f542eba383845ff049
0x08006550,0x080037A8,88,+0x2da8,bcb6f34cceb3978e020e9eef28697c9a976cb49d
0x08009F3E,0x08003C9E,144,+0x62a0,5342153f1d54ae3ddefedeb4f25cec1598627bc1
0x08009FD0,0x08003D30,116,+0x62a0,b788a45391c7979c12972342f701e9eb19dfac0c
0x0800A046,0x08003DA6,98,+0x62a0,fc47ddd946312b809ffc416adc10b49b8a26af0c
0x0800A186,0x08003EDE,146,+0x62a8,90b6bffc169079be7d4bf065fd30d058415ff640
0x0800A2C9,0x08004005,99,+0x62c4,0bc4ce2347d7977846471b6450ad86e9f7952e8b
0x0800A32E,0x0800406A,212,+0x62c4,17fe2f19e23ae93766cbcb26f19ccfcff6d25a62
0x0800A830,0x08004290,70,+0x65a0,39359702e92bacca77c435c4dfceed642f40fda4
0x0800A8C2,0x08004322,154,+0x65a0,43565f448afdf3d679aeb44e2430e931c7e3007a
0x0800A99E,0x080043FE,390,+0x65a0,dc36875835d7875688ef4e4801e87174b0290395
0x0800AB5A,0x080045BA,86,+0x65a0,9da267a25a392d85f028c4528ba7e61bcd5a9e30
0x0800ABB2,0x08004612,202,+0x65a0,efd4c197df5bae45ba1338bff72a6eaf7f4325b7
0x0800AC7E,0x080046DE,624,+0x65a0,49273d5c6667e7567384f44313333f9709cf6f93
0x0800AEF2,0x08004952,122,+0x65a0,9c2a2926572aa1e2dd18aa464b56f23bd3f26db7
0x0800B24B,0x08004CAB,49,+0x65a0,4b5632c02af5e37c8cd780634497d631e2fca90b
0x0800B2BB,0x08004D17,93,+0x65a4,3fedfc10142417f12630c154bb0a0d7c81e77b6c
0x0800B3EE,0x08004E46,306,+0x65a8,9369c0ed89d2b4b2ad11309206cc4d6e910c996e
0x0800C640,0x08004FA0,284,+0x76a0,b109818646fcd4a5489f8b290baa01bd73f9e3ad
0x0800C810,0x08005170,584,+0x76a0,6a9bb3509e0442301aaffc96b524f972518d91cd
0x0800CA92,0x080053F2,54,+0x76a0,57fa8388cb6357790b41f84a98293d9db98d01aa
0x0800CAF3,0x08005453,235,+0x76a0,8c5867e9a712c4f1a81098b1df14b5a32efbcb4d
0x0800CBE0,0x08005540,76,+0x76a0,e72c31c2da92de47e050421469fedb0f4c406df7
0x0800CC2F,0x0800558F,289,+0x76a0,e82ca29b5dfad0cae34ddd36a863ff434deff949
0x0800D29E,0x08005BFA,54,+0x76a4,2564cffc78d279b371d3bdcbec138e843a06a8a7
0x0800D2D6,0x08005C32,286,+0x76a4,5322910e4f1d995aa33f6c9ea2a6f6c388002a8d
0x0800D3F8,0x08005D54,80,+0x76a4,d11b55593c60113c56d3302859c9b828ddbc8c3e
0x0800D468,0x08005DC4,80,+0x76a4,e1f636889fad07feb2a4f2050e86529873df77e1
0x0800D4D8,0x08005E34,80,+0x76a4,1be8a5c9c16d7d2836ae2cf597ccab2e8f06e92b
0x0800D546,0x08005EA2,80,+0x76a4,11ced76a6e6ababb5ab5290913456e51a857f508
0x0800D603,0x08005F5F,199,+0x76a4,6aa4a60f295d416bb5f42727517d9a977df9f699
0x0800D6CC,0x08006028,190,+0x76a4,d8619f3114f82fc03bc414203889eced660c0eee
0x0800D78C,0x080060E8,126,+0x76a4,a2cb35a8f9857232acfe9efaff2709400eda4e58
0x0800E07E,0x08006582,94,+0x7afc,842e972448b4bdccbba6e0bb33708fcad3980694
0x0800E0E7,0x080065EB,137,+0x7afc,d0af10e7bffd37e8005eb776b33c7b3b68cc024f
0x0800E172,0x08006676,98,+0x7afc,791834b31bb5b45729061e3fc5b1f000db8736fa
0x0800E1D6,0x080066DA,86,+0x7afc,62648d766326cf88284e56538942e7e944dd6ab6
0x0800E25E,0x08006762,518,+0x7afc,02875db4e74e99141c56f02afbdacec64a3b2559
0x0800E4DB,0x080069DF,93,+0x7afc,2d63b64962282fc1610e39b898bda8ec12212b46
0x0800E53B,0x08006A3F,105,+0x7afc,9fdd77ab3ee695adf27723e91eb900a73be29e83
0x0800E5C1,0x08006AC5,91,+0x7afc,d752ed357b387d22e0ece6e5120baf0a6550996d
0x0800E61F,0x08006B23,293,+0x7afc,1d95a76c27fd4b843c632e4b519c3b46d1ae0b5e
0x0800E772,0x08006C76,58,+0x7afc,96a073354b3de656648e5a7b75ab84478250f362
0x0800E837,0x08006D3B,193,+0x7afc,898221eca48fd6c4fdb539e9ea5f884adc3fe482
0x0800E8FF,0x08006E03,357,+0x7afc,4633624a11058d550799fc712973320a000e1e31
0x0800EA8F,0x08006F93,49,+0x7afc,8115ed8acea78735d9d94de7e4296dc973b98f8e
0x0800EAC1,0x08006FC5,87,+0x7afc,5412fd331f1ac5f8e508b88c7cf94cb13955fb4f
0x0800EB6F,0x08007073,589,+0x7afc,43d327e1d88919bcdf5019da5f8940efb1dda667
0x0800EDDA,0x080072DE,306,+0x7afc,c788cbe74a9041d1aa248c535d20d281a3bee8b3
0x0800EF0D,0x08007411,279,+0x7afc,145e28e16c78c4f5b458795526cf2983326cee87
0x0800F027,0x0800752B,1537,+0x7afc,db426c589018943271a4ab0afab0bbe1a2f68594
0x0800F64F,0x08007B53,213,+0x7afc,9ef5d43519b9150ea9e426c775882f2fe6c744fe
0x0800F729,0x08007C2D,51,+0x7afc,cb9244fd2c451be959d63e1f320b9bf5c7ed4b0f
0x0800F77F,0x08007C83,173,+0x7afc,558085c57e3e23cfc7324c792bd294c5b6c6182a
0x0800F836,0x08007D3A,154,+0x7afc,4d7ba90aec90e9062a04e678f272de3cc191af32
0x0800F92C,0x08007E30,80,+0x7afc,584aa01ab2f6218784fe1d63d388a00092a9d25b
0x0800F97E,0x08007E82,206,+0x7afc,2a15051aa4e9836dce6c1a08dabeb8768a0c2584
0x0800FA4D,0x08007F51,187,+0x7afc,a0b2a42c62294899d176f06468b83dca3849e94e
0x0800FB0A,0x0800800E,1114,+0x7afc,e51a64ed4140bf6f99fb17547e129f313c8a4d5c
0x0800FF66,0x0800846A,106,+0x7afc,aa1e0b29126edb02ef53a28dd77f9942ee322e2b
0x08010043,0x08008547,109,+0x7afc,fcdb60721361959e2dd61e866402fae786d96dee
0x080100B9,0x080085BD,103,+0x7afc,4181a80f40dbff1ff520e36f225f0f47f09a3630
0x08010121,0x08008625,103,+0x7afc,cdd0a90952b30833da0f72a49fd61623db297344
0x080101ED,0x080086F1,49,+0x7afc,14b30582524cfa0e80eb0cf15c6d9d0227521cc4
0x08010239,0x0800873D,965,+0x7afc,d7f54831f0365e91f6cb981376d8e9d6bdba2bfe
0x08010691,0x08008B95,571,+0x7afc,f35c320a3951a31735cba940c55b647abc7211b2
0x080108CD,0x08008DD1,103,+0x7afc,8856b0d086de6ed56862ef98b6463461fb5b1566
0x08010935,0x08008E39,199,+0x7afc,7465641b7a9317f59ed5c80a0f02b299038a564c
0x08010A1E,0x08008F22,436,+0x7afc,b40292548fb798faf8a9e7ddb4f425b130109316
0x08010C02,0x08009106,392,+0x7afc,c1f65e65235a592ce4397a4c3368b40508cd7b97
0x08010DE0,0x080092B0,330,+0x7b30,70dc2062bb66fe4fef5c915be3b9d60b41d9ff2c
0x08010F2B,0x080093FB,129,+0x7b30,e9d79b6a61fc968b2fc1787736a059a59ddb5822
0x08010FC1,0x08009491,51,+0x7b30,031dde2166b9be557b4d413480067037e24e671b
0x0801106D,0x0800953D,167,+0x7b30,661f5e5a651e6e7901ae713a10123e2b48cb73a5
0x08011115,0x080095E5,263,+0x7b30,4cef72134c0458590cc91e1b802faca047595734
0x0801122A,0x080096FA,102,+0x7b30,a7ea77f253fcf9e11a582e91a9191dd6c4e27d0c
