level_index,record_source_rom_offset,word_00,word_04,word_08,word_0C,word_10,word_14,word_18,word_1C,word_20,word_24,word_28,word_2C,word_30,word_34,word_38,word_3C
0,0x00A8D9C0,0x00000000,0x00000000,0x0857BDA0,0x0853BD90,0x0855BD98,0x00000000,0x00000000,0x0859BDA8,0x00000040,0x03000CD0,0x03000CF4,0x03000D3C,0x00000000,0x00000000,0x0853B05C,0x00000001
1,0x00A8DA00,0x00000000,0x00000000,0x0853804C,0x0853403C,0x08536044,0x00000000,0x00000000,0x0853A054,0x000003E0,0x03000D18,0x00000000,0x00000000,0x00000000,0x00000000,0x08533B70,0x00000000
2,0x00A8DA40,0x00000000,0x00000000,0x08519B60,0x084E7B50,0x08500B58,0x00000000,0x00000000,0x08532B68,0x000003E0,0x03000D60,0x00000000,0x00000000,0x00000000,0x00000000,0x084E761C,0x00000001
3,0x00A8DA80,0x00000000,0x00000000,0x084D260C,0x084AA5FC,0x084BE604,0x00000000,0x00000000,0x084E6614,0x000003E0,0x03000D84,0x00000000,0x00000000,0x00000000,0x00000000,0x084A9578,0x00000001
4,0x00A8DAC0,0x00000000,0x00000000,0x0849A570,0x0847C560,0x0848B568,0x00000000,0x00000000,0x084E6614,0x000003E0,0x03000DA8,0x00000000,0x00000000,0x00000000,0x00000000,0x0847C354,0x00000000
5,0x00A8DB00,0x00000000,0x00000000,0x0845CF4C,0x0841E73C,0x0843DB44,0x00000000,0x00000000,0x084E6614,0x000003E0,0x03000DCC,0x00000000,0x00000000,0x00000000,0x00000000,0x0841D9F4,0x00000000
6,0x00A8DB40,0x00000000,0x00000000,0x08656174,0x08655CC4,0x08655CC4,0x00000000,0x00000000,0x08656174,0x00000040,0x03000DF0,0x00000000,0x00000000,0x00000000,0x00000000,0x0853B05C,0x00000001
7,0x00A8DB80,0x00000000,0x00000000,0x0841D47C,0x0841C98C,0x0841CF04,0x00000000,0x00000000,0x084E6614,0x00000040,0x03000E14,0x00000000,0x00000000,0x00000000,0x00000000,0x0841C880,0x00000000
8,0x00A8DBC0,0x00000000,0x00000000,0x0841BC08,0x0841A318,0x0841AF90,0x00000000,0x00000000,0x084E6614,0x00000040,0x03000E38,0x00000000,0x00000000,0x00000000,0x00000000,0x0841A110,0x00000000
9,0x00A8DC00,0x00000000,0x00000000,0x083E9308,0x083876F8,0x083B8500,0x00000000,0x00000000,0x084E6614,0x00000040,0x03000E5C,0x00000000,0x00000000,0x00000000,0x00000000,0x08386CCC,0x00000001
10,0x00A8DC40,0x00000000,0x00000000,0x0837C4C4,0x083674B4,0x08371CBC,0x00000000,0x00000000,0x084E6614,0x00000040,0x03000E80,0x00000000,0x00000000,0x00000000,0x00000000,0x08366F14,0x00000001
