level_index,variant_index,record_field_offset,descriptor_iwram_addr,descriptor_source_rom_offset,bg_tiles_source,bg_tiles_copy_bytes,tile_translation_table,bg_palette_source,bg_palette_halfwords,obj_tiles_source,obj_tiles_copy_bytes,obj_palette_source,obj_palette_halfwords,field_04,field_18
0,0,0x24,0x03000CD0,0x00A8DC80,0x0863A5D8,0xD800,0x0864825C,0x08649260,0,0x08310654,0x8000,0x08366E58,0,0x00000000,0x00000000
0,1,0x28,0x03000CF4,0x00A8DCA4,0x0862F420,0xD800,0x08639564,0x0863A568,0,0x08310654,0x8000,0x08366E58,0,0x00000000,0x00000000
0,2,0x2C,0x03000D3C,0x00A8DCEC,0x08619F50,0xD800,0x0862E254,0x0862F258,0,0x08310654,0x8000,0x08366E58,0,0x00000000,0x00000000
1,0,0x24,0x03000D18,0x00A8DCC8,0x086119E4,0xD800,0x08618D68,0x08619D6C,0,0x08310654,0x8000,0x08366E58,0,0x00000000,0x00000000
2,0,0x24,0x03000D60,0x00A8DD10,0x085CD690,0xD800,0x085E1994,0x085E2998,0,0x08310654,0x8000,0x08366E58,0,0x00000000,0x00000000
3,0,0x24,0x03000D84,0x00A8DD34,0x085A28BC,0xD800,0x085B5B80,0x085B7804,0,0x08310654,0x8000,0x08366E58,0,0x00000000,0x00000000
4,0,0x24,0x03000DA8,0x00A8DD58,0x0859CDB0,0xD800,0x085A1734,0x085A2738,0,0x08310654,0x8000,0x08366E58,0,0x00000000,0x00000000
5,0,0x24,0x03000DCC,0x00A8DD7C,0x085B78D8,0xD800,0x085CC01C,0x085CD4A0,0,0x08310654,0x8000,0x08366E58,0,0x00000000,0x00000000
6,0,0x24,0x03000DF0,0x00A8DDA0,0x0802BCD0,0xD800,0x08048D94,0x08049D18,0,0x08310654,0x8000,0x08366E58,0,0x00000000,0x00000000
7,0,0x24,0x03000E14,0x00A8DDC4,0x08608A9C,0xD800,0x08611360,0x08611864,0,0x08310654,0x8000,0x08366E58,0,0x00000000,0x00000000
8,0,0x24,0x03000E38,0x00A8DDE8,0x085FFB54,0xD800,0x08608418,0x0860891C,0,0x08310654,0x8000,0x08366E58,0,0x00000000,0x00000000
9,0,0x24,0x03000E5C,0x00A8DE0C,0x085F0FB8,0xD800,0x085FE9BC,0x085FF9C0,0,0x08310654,0x8000,0x08366E58,0,0x00000000,0x00000000
10,0,0x24,0x03000E80,0x00A8DE30,0x085E2B60,0xD800,0x085F03E4,0x085F0DE8,0,0x08310654,0x8000,0x08366E58,0,0x00000000,0x00000000
