level_index,role,rom_addr,rom_offset,width,height,cells,sha256,unique_values,zero_cells,value14_cells,min_value,max_value
0,visual_A,0x0857BDA0,0x0057BDA0,256,256,65536,be4be0ab67d532f59a0881e27414f87c1d00709df034dfd146719398445e12a5,831,22660,2,0,1259
0,collision,0x0853BD90,0x0053BD90,256,256,65536,fa75f226e97157a3ac5eeaf5d107f218e624e321fbe4746f5b27698c258dd600,2,60640,4896,0,14
0,visual_B,0x0855BD98,0x0055BD98,256,256,65536,5659456524745ffe6bb5b219dc3885410bfa15a0074cd2372bd50e4cb994cc71,473,57977,0,0,1278
0,fixed_tilemap,0x0859BDA8,0x0059BDA8,64,32,2048,747685ca4b7c8464967ce526ac68f8c40502014c6cf28d6639eaa0bfbabc0d26,80,0,0,352,479
1,visual_A,0x0853804C,0x0053804C,64,64,4096,a50f18a21aec7d715b8cd87b6e498920abe4a50bcf2b440ca2f71c7a7e025cfe,366,0,0,64,511
1,collision,0x0853403C,0x0053403C,64,64,4096,5735dbc4974ef93a56e6e4c4e56b6ff9ec45273308b591e238ea5958da8ddcf5,2,420,3676,0,14
1,visual_B,0x08536044,0x00536044,64,64,4096,3ac3ddbc1177411616046f00ff398ada1513ff5406304ee69ba830e04c7c2928,13,4084,0,0,383
1,fixed_tilemap,0x0853A054,0x0053A054,64,32,2048,fb9d81a45588da2cf0c72f14cf6d0cdde241c7ee00a7c818df23586a1723b1a3,28,0,0,3152,3253
2,visual_A,0x08519B60,0x00519B60,256,200,51200,7e961189b40757755f56efd4a4778f40f27d6f0d870be28f6aadd3654c4f2131,382,36,0,0,3216
2,collision,0x084E7B50,0x004E7B50,256,200,51200,f627ca4c2c322f15db26152df306bd4f983f0146409b81a4341b9b340c365a16,1,51200,0,0,0
2,visual_B,0x08500B58,0x00500B58,256,200,51200,6a836ed7699c7b5aeab55878799e2bb81af3eac5dbfcffa536ba538197f442f7,179,49797,0,0,3212
2,fixed_tilemap,0x08532B68,0x00532B68,64,32,2048,f893e3111467ad48ffb1daba565885373221cbada882b5ec6bae824b59e23eae,37,0,0,406,633
3,visual_A,0x084D260C,0x004D260C,256,160,40960,a7290494675b4b9c6d97e061aeef358f6714bfb841841664ae3c4e1f0b7e4281,495,83,0,0,1397
