level_index,record_source_rom_offset,runtime_record_addr,world_width_tiles,world_height_tiles,fixed_tilemap_width,fixed_tilemap_height,visual_layer_a_addr,collision_grid_addr,visual_layer_b_addr,fixed_tilemap_addr,tile_translation_index_base,graphics_descriptor_iwram,actor_table_addr,actor_table_rom_offset,record_flag_3c,actor_count,player_count,spawner_count,fgtile_count,leaves_count,player_x,player_y,player_width,player_height
0,0x00A8D9C0,0x03000A10,256,256,64,32,0x0857BDA0,0x0853BD90,0x0855BD98,0x0859BDA8,0x40,0x03000CD0,0x0853B05C,0x0053B05C,1,50,1,33,15,1,481.5,418.5,16,32
1,0x00A8DA00,0x03000A50,64,64,64,32,0x0853804C,0x0853403C,0x08536044,0x0853A054,0x3E0,0x03000D18,0x08533B70,0x00533B70,0,16,1,9,6,0,184.439,367.023,16,32
2,0x00A8DA40,0x03000A90,256,200,64,32,0x08519B60,0x084E7B50,0x08500B58,0x08532B68,0x3E0,0x03000D60,0x084E761C,0x004E761C,1,16,1,9,6,0,994.281,381.349,16,32
3,0x00A8DA80,0x03000AD0,256,160,64,32,0x084D260C,0x084AA5FC,0x084BE604,0x084E6614,0x3E0,0x03000D84,0x084A9578,0x004A9578,1,66,1,65,0,0,362.667,767.333,16,-16
4,0x00A8DAC0,0x03000B10,192,160,64,32,0x0849A570,0x0847C560,0x0848B568,0x084E6614,0x3E0,0x03000DA8,0x0847C354,0x0047C354,0,6,1,5,0,0,878.667,740,16,32
5,0x00A8DB00,0x03000B50,320,200,64,32,0x0845CF4C,0x0841E73C,0x0843DB44,0x084E6614,0x3E0,0x03000DCC,0x0841D9F4,0x0041D9F4,0,39,1,28,10,0,977.281,174.349,16,32
6,0x00A8DB40,0x03000B90,30,20,30,20,0x08656174,0x08655CC4,0x08655CC4,0x08656174,0x40,0x03000DF0,0x0853B05C,0x0053B05C,1,50,1,33,15,1,481.5,418.5,16,32
7,0x00A8DB80,0x03000BD0,29,24,64,32,0x0841D47C,0x0841C98C,0x0841CF04,0x084E6614,0x40,0x03000E14,0x0841C880,0x0041C880,0,4,1,0,3,0,147.068,124.909,16,-32
8,0x00A8DBC0,0x03000C10,37,43,64,32,0x0841BC08,0x0841A318,0x0841AF90,0x084E6614,0x40,0x03000E38,0x0841A110,0x0041A110,0,7,1,2,4,0,123.333,115.333,16,-32
9,0x00A8DC00,0x03000C50,782,128,64,32,0x083E9308,0x083876F8,0x083B8500,0x084E6614,0x40,0x03000E5C,0x08386CCC,0x00386CCC,1,30,1,21,7,1,409.5,370.5,16,32
10,0x00A8DC40,0x03000C90,168,128,64,32,0x0837C4C4,0x083674B4,0x08371CBC,0x084E6614,0x40,0x03000E80,0x08366F14,0x00366F14,1,17,1,11,4,1,225.333,901.334,16,32
