route_id,route_ptr,route_rom_offset,waypoint_index,x,y
0,0x08A8C0E8,0x00A8C0E8,0,112,61
0,0x08A8C0E8,0x00A8C0E8,1,210,61
0,0x08A8C0E8,0x00A8C0E8,2,216,105
0,0x08A8C0E8,0x00A8C0E8,3,129,107
0,0x08A8C0E8,0x00A8C0E8,4,111,91
0,0x08A8C0E8,0x00A8C0E8,5,111,61
1,0x08A8C0B8,0x00A8C0B8,0,112,61
1,0x08A8C0B8,0x00A8C0B8,1,211,60
1,0x08A8C0B8,0x00A8C0B8,2,216,105
1,0x08A8C0B8,0x00A8C0B8,3,129,107
1,0x08A8C0B8,0x00A8C0B8,4,111,91
1,0x08A8C0B8,0x00A8C0B8,5,112,61
2,0x08A8C088,0x00A8C088,0,112,61
2,0x08A8C088,0x00A8C088,1,211,60
2,0x08A8C088,0x00A8C088,2,216,105
2,0x08A8C088,0x00A8C088,3,129,107
2,0x08A8C088,0x00A8C088,4,111,91
2,0x08A8C088,0x00A8C088,5,112,61
3,0x08A8C058,0x00A8C058,0,112,61
3,0x08A8C058,0x00A8C058,1,211,60
3,0x08A8C058,0x00A8C058,2,216,105
3,0x08A8C058,0x00A8C058,3,129,107
3,0x08A8C058,0x00A8C058,4,111,91
3,0x08A8C058,0x00A8C058,5,112,61
4,0x08A8C028,0x00A8C028,0,112,61
4,0x08A8C028,0x00A8C028,1,211,60
4,0x08A8C028,0x00A8C028,2,216,105
4,0x08A8C028,0x00A8C028,3,129,107
4,0x08A8C028,0x00A8C028,4,111,91
4,0x08A8C028,0x00A8C028,5,112,61
