actor_rom_addr,legs_color,x_serialized,y_serialized,x_truncated_px,y_truncated_px,turn,port_to,timer_address,timer_initial,timer_reload,proximity_radius_pixels,activation_sfx,movement,confidence
0x08366F8C,112,354.667,906,354,906,1,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x08366FE8,112,328,919.333,328,919,0,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x08367044,112,1052.17,542.5,1052,542,0,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x083670A0,112,1087.83,524.667,1087,524,1,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x083670FC,112,1075.83,549.333,1075,549,1,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x08367158,112,1059.33,489.333,1059,489,1,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x083671B4,112,1016,500,1016,500,0,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x08367210,112,478.25,594.001,478,594,1,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x0836726C,112,466.25,618.667,466,618,1,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x083672C8,112,449.75,558.667,449,558,1,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x08367324,112,456,672,456,672,1,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x08386E98,112,392.333,417.167,392,417,0,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x08386F38,112,424,408,424,408,1,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x08386F94,112,416,424,416,424,1,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x0841E218,40,1423.5,1136.5,1423,1136,0,0,,,,,,x -= 150 fixed8 units each update,high
0x0841E510,112,1070,1167,1070,1167,1,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x0841E56C,112,1033,1174.5,1033,1174,0,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x0841E5C8,112,1057.5,1149.5,1057,1149,1,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x0841E624,112,994.75,1159.75,994,1159,0,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x0841E680,112,1293.5,1108.5,1293,1108,1,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x0853BBAC,112,559.75,540.5,559,540,0,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x0853BC90,112,447.333,444.667,447,444,0,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
0x0853BCEC,112,488,514.667,488,514,0,0,0x03000800,15,5,32,9,x += 600*turn - 300; y -= 250,high
