action,topic_index,topic,slot,profile_value_class,variant,rom_addr,response_stride,text,confidence
SUBJECT,0,sports,0,0,0,0x08018078,108,These jocks are just pricks. Why you even bother me with that?,high
SUBJECT,0,sports,1,1,0,0x080180E4,108,"Ahh, yeah... How's anyone even finds grabbing weights any entertaining?",high
SUBJECT,0,sports,2,3,0,0x08018150,108,It is always refreshing to go jogging time to times.,high
SUBJECT,0,sports,3,4,0,0x080181BC,108,I always love to do sports at the weekends!,high
SUBJECT,0,sports,4,0,1,0x08018228,108,What's so special 'bout watching some dumbs kicking the ball over the field?,high
SUBJECT,0,sports,5,1,1,0x08018294,108,I prefer sitting somewhere and not get involved in any team games.,high
SUBJECT,0,sports,6,3,1,0x08018300,108,"Yeah, we could play volleyball or something sometimes!",high
SUBJECT,0,sports,7,4,1,0x0801836C,108,Do you like my muscles? I am spending all of my free time in gym!,high
SUBJECT,0,sports,8,0,2,0x080183D8,108,Going to gym is just a narcist crap to me.,high
SUBJECT,0,sports,9,1,2,0x08018444,108,"I am not interested in such activities, to be honest.",high
SUBJECT,0,sports,10,3,2,0x080184B0,108,"Not planning to be in a professional, but I like to be in a team!",high
SUBJECT,0,sports,11,4,2,0x0801851C,108,Have you seen last Ouls game? That last minute... They hit two goals!,high
SUBJECT,0,sports,12,0,3,0x08018588,108,My favorite sport is when you frick off!,high
SUBJECT,0,sports,13,1,3,0x080185F4,108,"Well, it's just not my kind of thing",high
SUBJECT,0,sports,14,3,3,0x08018660,108,"Cheerleader girls are such a hotties, have you noticed?",high
SUBJECT,0,sports,15,4,3,0x080186CC,108,So I've been training till the late evening yesterday! What a session!,high
CRITICIZE,0,sports,0,0,0,0x08014DD8,108,"Yeah, that's what I always told - if you love sports, you got issues, bro!",high
CRITICIZE,0,sports,1,1,0,0x08014E44,108,You are right. Some activities are so pointless.,high
CRITICIZE,0,sports,2,3,0,0x08014EB0,108,"If you didn't knew, I like to being able to move.",high
CRITICIZE,0,sports,3,4,0,0x08014F1C,108,Don't like my thing - go tell jokes in other places...,high
CRITICIZE,0,sports,4,0,1,0x08014F88,108,I can't imagine my day sitting on a couch and watching this stupid sports.,high
CRITICIZE,0,sports,5,1,1,0x08014FF4,108,"Sport is good, if you want to ruin your helph",high
CRITICIZE,0,sports,6,3,1,0x08015060,108,Wanna tell me these exersices were pointless?,high
CRITICIZE,0,sports,7,4,1,0x080150CC,108,"Now repeat this to my fist, huh",high
SUBJECT,1,movies,0,0,0,0x080179B8,108,All the films I've seen last year was a complete tasteless mistake.,high
SUBJECT,1,movies,1,1,0,0x08017A24,108,I didn't watched anything in like a years...,high
SUBJECT,1,movies,2,3,0,0x08017A90,108,We've been on that Jumpscare-2 movie and it was horrifying!,high
SUBJECT,1,movies,3,4,0,0x08017AFC,108,Have you seen Vintage Movie Critic's new video? It is historical!,high
SUBJECT,1,movies,4,0,1,0x08017B68,108,Are you still eating what Hollywood is producing every year?,high
SUBJECT,1,movies,5,1,1,0x08017BD4,108,"Nah, I haven't seen this one",high
