level,player_index,controller_index,controller_rom_addr,target_level,phase,runtime_consequence,confidence
0,8,9,0x0853B2B0,2,post_player,contact uses same-frame Player position after Player_update,high
0,8,45,0x0853BC08,1,post_player,contact uses same-frame Player position after Player_update,high
0,8,46,0x0853BC4C,6,post_player,contact uses same-frame Player position after Player_update,high
0,8,49,0x0853BD48,8,post_player,contact uses same-frame Player position after Player_update,high
1,2,0,0x08533B70,0,pre_player,contact uses previous-frame Player position before Player_update,high
1,2,1,0x08533BB4,0,pre_player,contact uses previous-frame Player position before Player_update,high
1,2,3,0x08533C34,2,post_player,contact uses same-frame Player position after Player_update,high
1,2,5,0x08533CCC,3,post_player,contact uses same-frame Player position after Player_update,high
1,2,6,0x08533D10,4,post_player,contact uses same-frame Player position after Player_update,high
1,2,7,0x08533D54,5,post_player,contact uses same-frame Player position after Player_update,high
2,0,1,0x084E7658,0,post_player,contact uses same-frame Player position after Player_update,high
2,0,5,0x084E7768,0,post_player,contact uses same-frame Player position after Player_update,high
2,0,6,0x084E77AC,0,post_player,contact uses same-frame Player position after Player_update,high
5,0,1,0x0841DA30,0,post_player,contact uses same-frame Player position after Player_update,high
5,0,5,0x0841DB40,0,post_player,contact uses same-frame Player position after Player_update,high
5,0,6,0x0841DB84,0,post_player,contact uses same-frame Player position after Player_update,high
5,0,17,0x0841DF70,4,post_player,contact uses same-frame Player position after Player_update,high
5,0,18,0x0841DFB4,4,post_player,contact uses same-frame Player position after Player_update,high
5,0,19,0x0841DFF8,4,post_player,contact uses same-frame Player position after Player_update,high
6,8,9,0x0853B2B0,2,post_player,contact uses same-frame Player position after Player_update,high
6,8,45,0x0853BC08,1,post_player,contact uses same-frame Player position after Player_update,high
6,8,46,0x0853BC4C,6,post_player,contact uses same-frame Player position after Player_update,high
6,8,49,0x0853BD48,8,post_player,contact uses same-frame Player position after Player_update,high
7,0,1,0x0841C8BC,8,post_player,contact uses same-frame Player position after Player_update,high
7,0,2,0x0841C900,8,post_player,contact uses same-frame Player position after Player_update,high
7,0,3,0x0841C944,6,post_player,contact uses same-frame Player position after Player_update,high
8,4,0,0x0841A110,9,pre_player,contact uses previous-frame Player position before Player_update,high
8,4,1,0x0841A154,9,pre_player,contact uses previous-frame Player position before Player_update,high
8,4,2,0x0841A198,7,pre_player,contact uses previous-frame Player position before Player_update,high
8,4,3,0x0841A1DC,7,pre_player,contact uses previous-frame Player position before Player_update,high
9,2,5,0x08386E10,1,post_player,contact uses same-frame Player position after Player_update,high
9,2,6,0x08386E54,6,post_player,contact uses same-frame Player position after Player_update,high
9,2,8,0x08386EF4,8,post_player,contact uses same-frame Player position after Player_update,high
