source_level,destination,destination_kind,actor_rom_offset,x,y,num,turn
0,1,level,0x0053BC08,455.333,406,150,
0,2,level,0x0053B2B0,407.5,1716.5,150,
0,6,level,0x0053BC4C,511.667,408.333,150,
0,8,level,0x0053BD48,480,408,150,
1,0,level,0x00533B70,176,384,10,
1,0,level,0x00533BB4,192,384,10,
1,2,level,0x00533C34,128,368,10,
1,3,level,0x00533CCC,239,368,10,
1,4,level,0x00533D10,240,302.5,10,
1,5,level,0x00533D54,128.5,304.5,10,
2,0,level,0x004E7658,1000,288,150,
2,0,level,0x004E7768,1032,288,150,
2,0,level,0x004E77AC,1016,288,150,
5,0,level,0x0041DA30,960,144,150,
5,0,level,0x0041DB40,992,144,150,
5,0,level,0x0041DB84,976,144,150,
5,4,level,0x0041DF70,1344,1096,10,
5,4,level,0x0041DFB4,1360,1096,10,
5,4,level,0x0041DFF8,1376,1096,10,
6,1,level,0x0053BC08,455.333,406,150,
6,2,level,0x0053B2B0,407.5,1716.5,150,
6,6,level,0x0053BC4C,511.667,408.333,150,
6,8,level,0x0053BD48,480,408,150,
7,6,level,0x0041C944,120.75,107.25,10,
7,8,level,0x0041C8BC,44.8182,144.045,10,
7,8,level,0x0041C900,60.9091,144,10,
8,7,level,0x0041A198,115.5,103.75,150,
8,7,level,0x0041A1DC,131.75,103.75,150,
8,9,level,0x0041A110,75.9546,281.136,10,
8,9,level,0x0041A154,92.0455,281.091,10,
9,1,level,0x00386E10,472,312,150,
9,6,level,0x00386E54,488,312,150,
9,8,level,0x00386EF4,408,360,150,
9,524,special_or_out_of_range,0x00386FF0,512.333,456,512,
10,8,level,0x00367380,808,384,150,4
10,8,level,0x003673CC,824,384,150,4
10,8,level,0x00367418,808,352,150,5
10,8,level,0x00367464,824,352,150,5
