index,rom_offset,type,name,x,y,width,height,spawnType,subtype,treetype,legsColor,num,portTo,level,setglobal,state,route,dial,turn
0,0x00018E94,spawner,spawner,541,548,16,-32,npc,0,,56,5,0,0,0,0,,,
1,0x00018F08,spawner,spawner,563,483,16,-32,npc,0,,56,5,0,0,0,2,,0,
2,0x00018F84,spawner,spawner,1317,1217,16,-32,npc,0,,16,8,0,5,0,2,,1,
3,0x00019000,spawner,spawner,623,483,16,-32,npc,0,,56,5,0,0,0,2,,1,
4,0x0001907C,spawner,spawner,423,483,16,-32,npc,0,,200,8,0,0,0,3,0,2,
5,0x00019100,spawner,spawner,423,483,16,-32,npc,0,,200,8,0,0,0,1,,0,
6,0x0001917C,spawner,spawner,478,500,16,-32,npc,0,,32,4,0,0,0,1,,1,
7,0x000191F8,spawner,spawner,87,117,16,-32,npc,0,,1,5,0,7,0,2,,0,
8,0x00019274,spawner,spawner,43,117,16,-32,npc,0,,1,5,0,7,0,2,,1,
9,0x000192F0,spawner,spawner,750,777,16,-32,npc,0,,16,8,0,10,0,2,,2,
10,0x0001936C,spawner,spawner,440,440,16,-32,npc,4,,24,1,0,9,0,2,,3,
11,0x000193E8,spawner,spawner,673,729,16,-32,npc,6,,24,1,0,10,0,4,,3,
12,0x00019464,spawner,spawner,314,674,16,-32,npc,6,,24,1,0,10,0,4,,3,
13,0x000194E0,spawner,spawner,178,214,16,-32,npc,6,,24,1,0,10,0,4,,3,
14,0x0001955C,spawner,spawner,1060,323,16,-32,npc,6,,24,1,0,10,0,4,,3,
15,0x000195D8,spawner,spawner,611,402,16,-32,npc,6,,24,1,0,10,0,4,,3,
