index,level,state,dial,legsColor,subtype,frame,source_bias,source_base,source_rows,runtime_class
0,0,0,,56,0,1,3584,4032,4032;4048;4064;4080,npc
1,0,2,0,56,0,1,3584,4032,4032;4048;4064;4080,npc
2,5,2,1,16,0,1,3584,3712,3712;3728;3744;3760,npc
3,0,2,1,56,0,1,3584,4032,4032;4048;4064;4080,npc
4,0,3,2,200,0,1,3584,5184,5184;5200;5216;5232,npc
5,0,1,0,200,0,1,3584,5184,5184;5200;5216;5232,npc
6,0,1,1,32,0,1,3584,3840,3840;3856;3872;3888,npc
7,7,2,0,1,0,1,3584,3592,3592;3608;3624;3640,npc
8,7,2,1,1,0,1,3584,3592,3592;3608;3624;3640,npc
9,10,2,2,16,0,1,3584,3712,3712;3728;3744;3760,npc
10,9,2,3,24,4,1,3584,3780,3780;3796;3812;3828,npc
11,10,4,3,24,6,1,3584,3782,3782;3798;3814;3830,npc
12,10,4,3,24,6,1,3584,3782,3782;3798;3814;3830,npc
13,10,4,3,24,6,1,3584,3782,3782;3798;3814;3830,npc
14,10,4,3,24,6,1,3584,3782,3782;3798;3814;3830,npc
15,10,4,3,24,6,1,3584,3782,3782;3798;3814;3830,npc
