rom_offset,rom_addr,text
0x00004668,0x08004668,dial
0x00011598,0x08011598,Vika
0x000116B8,0x080116B8,Vika
0x00011748,0x08011748,Vika
0x00011868,0x08011868,Vika
0x000118F8,0x080118F8,Vika
0x00011A18,0x08011A18,Vika
0x00011B38,0x08011B38,Katya
0x00011BC8,0x08011BC8,Vika
0x00011C58,0x08011C58,Katya
0x00011CE8,0x08011CE8,Katya
0x00011D78,0x08011D78,Katya
0x00011E08,0x08011E08,Vika
0x00011FB8,0x08011FB8,Katya
0x00012048,0x08012048,Vika
0x00012168,0x08012168,IQ 54
0x000121F8,0x080121F8,IQ 54
0x00012288,0x08012288,IQ 54
0x00012318,0x08012318,Vika
0x000123A8,0x080123A8,Vika
0x00012438,0x08012438,IQ 54
0x000124C8,0x080124C8,Vika
0x00012558,0x08012558,IQ 54
0x00012708,0x08012708,Vika
0x00012798,0x08012798,IQ 54
0x00012828,0x08012828,Vika
0x000128B8,0x080128B8,IQ 54
0x00012A68,0x08012A68,IQ 54
0x00012AF8,0x08012AF8,IQ 54
0x00012B88,0x08012B88,Vika
0x00012CA8,0x08012CA8,Vika
0x00012D38,0x08012D38,Vika
0x00012E73,0x08012E73,Done! Press A and then check your messages
0x000131B8,0x080131B8,Vika
0x00013248,0x08013248,Vika
0x000132D8,0x080132D8,Vika
0x00013488,0x08013488,Vika
0x00013518,0x08013518,Vika
0x00018898,0x08018898,KISS CHEEK
0x000188C4,0x080188C4,KISS LIPS
0x000198A0,0x080198A0,Favorite Skirt
0x000198B4,0x080198B4, Not for demo 
0x000198C8,0x080198C8, Not for demo 
0x000198DC,0x080198DC, Not for demo 
0x000198F0,0x080198F0, Not for demo 
0x00019904,0x08019904, Not for demo 
0x00019918,0x08019918, Not for demo 
0x0001992C,0x0801992C, Not for demo 
0x00A8C274,0x08A8C274,spawnType
0x00A8C280,0x08A8C280,UNKNOWN ACTOR TYPE: 
0x00A8C298,0x08A8C298,spawner
0x00A8C2CC,0x08A8C2CC,fgtile
0x00A8C2F8,0x08A8C2F8,portTo
0x00A8C308,0x08A8C308,setglobal
0x00A8C324,0x08A8C324,PRESS START...
0x00A8C344,0x08A8C344,THERE IS NO PLAYER IN LEVEL!
0x00A8C3A0,0x08A8C3A0,dial
0x00A8C43C,0x08A8C43C,MESSAGES
0x00A8C448,0x08A8C448,FROM:
0x00A8C450,0x08A8C450,No new messages
0x00A8C460,0x08A8C460,STATUS
0x00A8C468,0x08A8C468,FRIENDS
0x00A8C470,0x08A8C470,BACKPACK
0x00A8C47C,0x08A8C47C,Wardrobe
0x00A8C598,0x08A8C598,Fgtile
0x00A8E1A4,0x08A8E1A4,IQ 54
0x00A8E4BB,0x08A8E4BB,Vika
0x00A8E53D,0x08A8E53D,Vika
0x00A8E6B4,0x08A8E6B4,Go meet IQ
0x00A8E6C3,0x08A8E6C3,Katya
0x00A8E736,0x08A8E736,Find sketches
0x00A8E745,0x08A8E745,IQ 54
