kind,selector,value,source,bytes,sha256,evidence
bg_page,0,6,0x08621B5C,8192,8b5303742186fbdf56be265e74c9ecf390752a2d36e6b14a2a03cf5c6e738cca,0x08004F6C page*0x2000 + 0xD0C0 from Level-7 BG source
bg_page,1,2,0x08619B5C,8192,1fd552c1d6b76c4037dd30e05c7b9a63416eb0faa46719d2729089e1be2708f9,0x08004F6C page*0x2000 + 0xD0C0 from Level-7 BG source
bg_page,2,1,0x08617B5C,8192,be70bf220de34467876295a528f1d8fb6136be196b34fa68953c0766b33a3a5e,0x08004F6C page*0x2000 + 0xD0C0 from Level-7 BG source
bg_page,3,0,0x08615B5C,8192,58cc33fb4c3fe398398d212a3452f0e42ad9f80b5a980c26b3be46e842229281,0x08004F6C page*0x2000 + 0xD0C0 from Level-7 BG source
bg_page,4,3,0x0861BB5C,8192,f7dcca05cb585b338aea421aac78841d201421545865b082ee846b410ec1c253,0x08004F6C page*0x2000 + 0xD0C0 from Level-7 BG source
bg_page,5,4,0x0861DB5C,8192,44bd444377c00672de3f86b6bf43b01c6bf1915eaab0c5f269414de2de7d314c,0x08004F6C page*0x2000 + 0xD0C0 from Level-7 BG source
bg_page,6,5,0x0861FB5C,8192,084192a34268507ceef61d63939261050c68a699e6d92d824beaf21e63dbecd1,0x08004F6C page*0x2000 + 0xD0C0 from Level-7 BG source
preview_obj,0,15,0x08346954;0x08346D54;0x08347154;0x08347554,512,2ef62e721fdf03c1e13af23031024d672e1d9fc0a7356211bfc7520ce0c38580,"0x08008EC6 loop; bank*Player+0x1DC(192), source offsets 0x24C..0x27C"
preview_obj,1,13,0x08340954;0x08340D54;0x08341154;0x08341554,512,ae748f9805e7a61f762ef02a3651bd605446d65fffd7dab354fd93a8ffe73433,"0x08008EC6 loop; bank*Player+0x1DC(192), source offsets 0x24C..0x27C"
preview_obj,2,12,0x0833D954;0x0833DD54;0x0833E154;0x0833E554,512,4b157c7f740084cb5a76aefa1be8095880acc00cd82dcefe0af8392c620cee5b,"0x08008EC6 loop; bank*Player+0x1DC(192), source offsets 0x24C..0x27C"
preview_obj,3,11,0x0833A954;0x0833AD54;0x0833B154;0x0833B554,512,750d8f1a9c9b9fe7eb89c40d582332aa63cd18c8dc7f6cd4e42042c9d6732b2d,"0x08008EC6 loop; bank*Player+0x1DC(192), source offsets 0x24C..0x27C"
preview_obj,4,6,0x0832B954;0x0832BD54;0x0832C154;0x0832C554,512,88a90bcc495745cfd53b105368bfb1f7b6a8b2d22179f74b9a45e1ed00a795ff,"0x08008EC6 loop; bank*Player+0x1DC(192), source offsets 0x24C..0x27C"
preview_obj,5,4,0x08325954;0x08325D54;0x08326154;0x08326554,512,f19ffa82f30106be2e444f23fe3c2921dd3576acca051aa2cb9746b33f3a30c6,"0x08008EC6 loop; bank*Player+0x1DC(192), source offsets 0x24C..0x27C"
preview_obj,6,5,0x08328954;0x08328D54;0x08329154;0x08329554,512,0e76659d92108039eadbb9b7e0ab5a054ada372134a6966dc3a2ced2397ad411,"0x08008EC6 loop; bank*Player+0x1DC(192), source offsets 0x24C..0x27C"
