edge_class,source,destination,transition_type,delay_updates,evidence_ref
gameplay,0,1,fgtile_portal,10,0x0053BC08
gameplay,0,2,fgtile_portal,10,0x0053B2B0
gameplay,0,6,fgtile_portal,10,0x0053BC4C
gameplay,0,8,fgtile_portal,10,0x0053BD48
gameplay,1,0,fgtile_portal,10,0x00533B70
gameplay,1,0,fgtile_portal,10,0x00533BB4
gameplay,1,2,fgtile_portal,10,0x00533C34
gameplay,1,3,fgtile_portal,10,0x00533CCC
gameplay,1,4,fgtile_portal,10,0x00533D10
gameplay,1,5,fgtile_portal,10,0x00533D54
gameplay,2,0,fgtile_portal,10,0x004E7658
gameplay,2,0,fgtile_portal,10,0x004E7768
gameplay,2,0,fgtile_portal,10,0x004E77AC
gameplay,5,0,fgtile_portal,10,0x0041DA30
gameplay,5,0,fgtile_portal,10,0x0041DB40
gameplay,5,0,fgtile_portal,10,0x0041DB84
gameplay,5,4,fgtile_portal,10,0x0041DF70
gameplay,5,4,fgtile_portal,10,0x0041DFB4
gameplay,5,4,fgtile_portal,10,0x0041DFF8
gameplay,6,1,fgtile_portal,10,0x0053BC08
gameplay,6,2,fgtile_portal,10,0x0053B2B0
gameplay,6,6,fgtile_portal,10,0x0053BC4C
gameplay,6,8,fgtile_portal,10,0x0053BD48
gameplay,7,6,fgtile_portal,10,0x0041C944
gameplay,7,8,fgtile_portal,10,0x0041C8BC
gameplay,7,8,fgtile_portal,10,0x0041C900
gameplay,8,7,fgtile_portal,10,0x0041A198
gameplay,8,7,fgtile_portal,10,0x0041A1DC
gameplay,8,9,fgtile_portal,10,0x0041A110
gameplay,8,9,fgtile_portal,10,0x0041A154
gameplay,9,1,fgtile_portal,10,0x00386E10
gameplay,9,6,fgtile_portal,10,0x00386E54
gameplay,9,8,fgtile_portal,10,0x00386EF4
gameplay,9,10,player_boundary,10,0x08008828
